seccion_id,votante,cantidad,tipo,concepto,cantidad_str
1,No Votantes,110.0,5,VotoBlando,110
2,No Votantes,70.0,5,VotoBlando,70
3,No Votantes,2011.0,5,VotoBlando,"2,011"
4,No Votantes,1178.0,5,VotoBlando,"1,178"
5,No Votantes,114.0,5,VotoBlando,114
6,No Votantes,520.0,5,VotoBlando,520
7,No Votantes,1153.0,5,VotoBlando,"1,153"
8,No Votantes,258.0,5,VotoBlando,258
9,No Votantes,242.0,5,VotoBlando,242
10,No Votantes,156.0,5,VotoBlando,156
11,No Votantes,1168.0,5,VotoBlando,"1,168"
12,No Votantes,421.0,5,VotoBlando,421
13,No Votantes,143.0,5,VotoBlando,143
14,No Votantes,157.0,5,VotoBlando,157
15,No Votantes,67.0,5,VotoBlando,67
16,No Votantes,174.0,5,VotoBlando,174
17,No Votantes,165.0,5,VotoBlando,165
18,No Votantes,89.0,5,VotoBlando,89
19,No Votantes,144.0,5,VotoBlando,144
20,No Votantes,31.0,5,VotoBlando,31
21,No Votantes,81.0,5,VotoBlando,81
22,No Votantes,317.0,5,VotoBlando,317
23,No Votantes,16.0,5,VotoBlando,16
24,No Votantes,101.0,5,VotoBlando,101
25,No Votantes,89.0,5,VotoBlando,89
26,No Votantes,130.0,5,VotoBlando,130
27,No Votantes,283.0,5,VotoBlando,283
28,No Votantes,100.0,5,VotoBlando,100
29,No Votantes,356.0,5,VotoBlando,356
30,No Votantes,186.0,5,VotoBlando,186
31,No Votantes,385.0,5,VotoBlando,385
32,No Votantes,106.0,5,VotoBlando,106
33,No Votantes,88.0,5,VotoBlando,88
34,No Votantes,261.0,5,VotoBlando,261
35,No Votantes,633.0,5,VotoBlando,633
36,No Votantes,1425.0,5,VotoBlando,"1,425"
37,No Votantes,140.0,5,VotoBlando,140
38,No Votantes,1571.0,5,VotoBlando,"1,571"
39,No Votantes,355.0,5,VotoBlando,355
40,No Votantes,23.0,5,VotoBlando,23
41,No Votantes,65.0,5,VotoBlando,65
42,No Votantes,94.0,5,VotoBlando,94
43,No Votantes,18.0,5,VotoBlando,18
44,No Votantes,78.0,5,VotoBlando,78
45,No Votantes,28.0,5,VotoBlando,28
46,No Votantes,4.0,5,VotoBlando,4
47,No Votantes,111.0,5,VotoBlando,111
48,No Votantes,43.0,5,VotoBlando,43
49,No Votantes,73.0,5,VotoBlando,73
50,No Votantes,5496.0,5,VotoBlando,"5,496"
51,No Votantes,260.0,5,VotoBlando,260
52,No Votantes,1512.0,5,VotoBlando,"1,512"
53,No Votantes,1249.0,5,VotoBlando,"1,249"
54,No Votantes,108.0,5,VotoBlando,108
